Program Number,Program Title,Department/Ind. Agency,Sub-Tier,Related Federal Assistance,Last Date Modified,Types of Assistance,Date Published,Funded,POC Information
00.153,Health Research_Cerebrovascular Traineeships,,,,"Jun 21, 2004",,,,
00.154,Health Research Facilities and Resources_General Clinical Research Centers,,,,"Jun 21, 2004",,,,
00.155,Health Research Facilities and Resources_General Research Support,,,,"Jun 21, 2004",,,,
00.156,Health Research Facilities and Resources_Special Research Resources,,,,"Jun 21, 2004",,,,
00.157,Health Research_Fellowships,,,,"Jun 21, 2004",,,,
00.158,Health Research_Project Grants,,,,"Jun 21, 2004",,,,
00.159,Health Research_Training Grants,,,,"Jun 21, 2004",,,,
00.160,Aging_Training,,,,"Jun 21, 2004",,,,
00.161,Medical Assistance to Public Assistance Recipients,,,,"Jun 21, 2004",,,,
00.162,Rehabilitation Research and Demonstrations,,,,"Jun 21, 2004",,,,
00.163,Rehabilitation Research and Training Centers,,,,"Jun 21, 2004",,,,
00.164,Vocational Rehabilitation Facilities and Workshops,,,,"Jun 21, 2004",,,,
00.165,Vocational Rehabilitation Services to Blind Persons,,,,"Jun 21, 2004",,,,
00.166,Vocational Rehabilitation Training,,,,"Jun 21, 2004",,,,
00.167,Deaf-Blind Youth and Adults,,,,"Jun 21, 2004",,,,
00.168,Mental Retardation_Initial Staffing of Community Facilities,,,,"Jun 21, 2004",,,,
00.169,Rehabilitation Services Expansion,,,,"Jun 21, 2004",,,,
00.170,Social Statistics,,,,"Jun 21, 2004",,,,
00.171,Advance Acquisition of Land,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.172,Public Works Planning Advances,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.173,Public Housing Program for American Indians,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.174,Homes Association Residential Subdivision,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.175,Low-Rent Public Housing,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.176,Metropolitan Expediters to Assist Local Officials,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.177,Supplementary Grants for Planned Metropolitan Development,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.178,Urban Information and Technical Assistance Services,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.179,Urban Mass Transportation,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.180,Urban Mass Transportation Demonstration Grants,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.181,Urban Renewal Rehabilitation and Code Enforcement,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.182,Mortgage Insurance for Armed Services Housing_Civilian Employees,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.183,Mortgage Insurance for Armed Services Housing_Impacted Areas,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.184,Mortgage Insurance for Servicemen's Housing,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.185,Alaska Housing,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.186,Appalachian Region_Sewage Treatment Works Grants,"INTERIOR, DEPARTMENT OF THE",,,"Jun 21, 2004",,,,
00.187,Solid Waste Disposal,"INTERIOR, DEPARTMENT OF THE",,,"Jun 21, 2004",,,,
00.188,Identification of Mentally Retarded American Indian Children,"INTERIOR, DEPARTMENT OF THE",,,"Jun 21, 2004",,,,
00.189,Appalachian Region_Mining Area Restoration,"INTERIOR, DEPARTMENT OF THE",,,"Jun 21, 2004",,,,
00.190,American Indian Credit and Financing Program,"INTERIOR, DEPARTMENT OF THE",,,"Jun 21, 2004",,,,
00.191,American Indian Education Financial Assistance,"INTERIOR, DEPARTMENT OF THE",,,"Jun 21, 2004",,,,
00.192,On-Reservation Adult Education Program for American Indians,"INTERIOR, DEPARTMENT OF THE",,,"Jun 21, 2004",,,,
00.193,Post High School Training for American Indian Youth,"INTERIOR, DEPARTMENT OF THE",,,"Jun 21, 2004",,,,
00.194,Summer Programs for American Indian Students,"INTERIOR, DEPARTMENT OF THE",,,"Jun 21, 2004",,,,
00.195,Programs for American Indians,"INTERIOR, DEPARTMENT OF THE",,,"Jun 21, 2004",,,,
00.196,Criminal Justice Act of 1964,"JUSTICE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.197,Federal Prisoners Rehabilitation Program,"JUSTICE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.198,Law Enforcement Assistance,"JUSTICE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.199,National Conference on Bail and Criminal Justice and Follow-Up Programs,"JUSTICE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.200,Smaller Communities Program_Rural Areas,"LABOR, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.201,Experimental and Demonstration Projects for the Mentally Retarded,"LABOR, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.202,Experimental and Demonstration Projects for Rural Persons,"LABOR, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.203,Experimental and Demonstration Projects under MDTA,"LABOR, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.204,Experimental and Demonstration Projects for Youth and Adults with Limited Ability to Read and Write,"LABOR, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.205,Employment Services to Rural Areas,"LABOR, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.206,Job Market Information,"LABOR, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.207,Job Training for Disadvantaged Persons,"LABOR, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.208,New Careers Program,"LABOR, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.209,Occupational Training in Development Areas,"LABOR, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.210,Physically and Mentally Handicapped_Employment Service,"LABOR, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.211,Special Impact,"LABOR, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.212,Trade Adjustment Allowances for Workers,"LABOR, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.213,Employment Service,"LABOR, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.214,Veterans Employment Priority Service,"LABOR, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.215,Youth Opportunity Centers,"LABOR, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.216,American Indian Vocational Job Training,"LABOR, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.217,Employment Assistance and Training for Inmates of Correctional Institutions,"LABOR, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.218,Apprenticeship Information Centers,"LABOR, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.219,Manpower Recruitment Services,"LABOR, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.220,Older Worker Employment Assistance,"LABOR, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.221,Selective Service Rejectee Rehabilitation,"LABOR, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.222,Post Office Lease Construction,U.S. Postal Service,,,"Jun 21, 2004",,,,
00.223,"Marine, Harbor, and Waterfront Services","TRANSPORTATION, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.224,Development Highways and Access Roads for the Appalachian Region,"TRANSPORTATION, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.225,Urban Mass Transportation Capital Assistance,"TRANSPORTATION, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.226,Narcotics Law Enforcement Training,"TREASURY, DEPARTMENT OF THE",,,"Jun 21, 2004",,,,
00.227,Regional Economic Development Commissions,APPALACHIAN REGIONAL COMMISSION,,,"Jun 21, 2004",,,,
00.228,Construction of Nuclear Power Stations,Atomic Energy Commission,Energy Research and Development Administration,,"Jun 21, 2004",,,,
00.229,Licensing of Nuclear Power Stations,Atomic Energy Commission,Energy Research and Development Administration,,"Jun 21, 2004",,,,
00.230,Nuclear Education and Training,Atomic Energy Commission,Energy Research and Development Administration,,"Jun 21, 2004",,,,
00.231,"Research Support in the Biological, Medical, and Health Sciences",Atomic Energy Commission,Energy Research and Development Administration,,"Jun 21, 2004",,,,
00.232,Research Support in the Physical Sciences,Atomic Energy Commission,Energy Research and Development Administration,,"Jun 21, 2004",,,,
00.233,Surveys and Evaluation of Environmental Radiation Hazards,Atomic Energy Commission,Energy Research and Development Administration,,"Jun 21, 2004",,,,
00.234,Training of State Personnel in AEC Regulatory Functions,Atomic Energy Commission,Energy Research and Development Administration,,"Jun 21, 2004",,,,
00.235,Transferred to Industry of AEC Generated Technology,Atomic Energy Commission,Energy Research and Development Administration,,"Jun 21, 2004",,,,
00.236,Deleted,Atomic Energy Commission,Energy Research and Development Administration,,"Jun 21, 2004",,,,
00.237,Air Transport_Community and Consumer Services,Civil Aeronautics Board,,,"Jun 21, 2004",,,,
00.238,Job Discrimination_Reports,COMMISSION ON CIVIL RIGHTS,,,"Jun 21, 2004",,,,
00.239,Affirmative Action Program_Equal Employment Opportunity,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,,,"Jun 21, 2004",,,,
00.240,Equal Employment Opportunity Grants,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,,,"Jun 21, 2004",,,,
00.241,Job Discrimination_Reports,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,,,"Jun 21, 2004",,,,
00.242,Banks for Agricultural Cooperatives,Farm Credit Administration,,,"Jun 21, 2004",,,,
00.243,Federal Land Banks_Farm Real Estate Loans,Farm Credit Administration,,,"Jun 21, 2004",,,,
00.244,Production Credit Associations_Agricultural Loans,Farm Credit Administration,,,"Jun 21, 2004",,,,
00.245,Fish Protection,Federal Power Commission,,,"Jun 21, 2004",,,,
00.246,Flood Control,Federal Power Commission,,,"Jun 21, 2004",,,,
00.247,"Forestry, Tree Planting",Federal Power Commission,,,"Jun 21, 2004",,,,
00.248,Recreation Resource Development,Federal Power Commission,,,"Jun 21, 2004",,,,
00.249,Water Conservation Assistance,Federal Power Commission,,,"Jun 21, 2004",,,,
00.250,Water Pollution Assistance,Federal Power Commission,,,"Jun 21, 2004",,,,
00.251,Payments to Small Lead and Zinc Mines,GENERAL SERVICES ADMINISTRATION,,,"Jun 21, 2004",,,,
00.252,Assistance for University Research and Training Activities,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,"Jun 21, 2004",,,,
00.253,Grants for Progress in the Arts,NATIONAL ENDOWMENT FOR THE ARTS,,,"Jun 21, 2004",,,,
00.254,Progress in the Humanities,NATIONAL ENDOWMENT FOR THE ARTS,,,"Jun 21, 2004",,,,
00.255,Consolidated into program 45.024,NATIONAL ENDOWMENT FOR THE HUMANITIES,,,"Jun 21, 2004",,,,
00.256,Science Research Support Activities,NATIONAL SCIENCE FOUNDATION,,,"Jun 21, 2004",,,,
00.257,Child Development_Head Start,Community Services Administration,,,"Jun 21, 2004",,,,
00.258,Job Corps,Community Services Administration,,,"Jun 21, 2004",,,,
00.259,Upward Bound,Community Services Administration,,,"Jun 21, 2004",,,,
00.260,Emergency Management of Resources,Office of Emergency Preparedness,,,"Jun 21, 2004",,,,
00.261,Equal Opportunity in Housing,President's Committee on Equal Opportunity In Housing,,,"Jun 21, 2004",,,,
00.262,Smithsonian Institution_Visiting Research Appointments,Smithsonian Institution,,,"Jun 21, 2004",,,,
00.263,Adjustment to Local Flood Hazard_Tennessee River Basin,Tennessee Valley Authority,,,"Jun 21, 2004",,,,
00.264,Electricity Supply and Utilization_Tennessee Valley Region,Tennessee Valley Authority,,,"Jun 21, 2004",,,,
00.265,"Forestry, Fish and Wildlife_Tennessee Valley Region",Tennessee Valley Authority,,,"Jun 21, 2004",,,,
00.266,Industrial Development_Tennessee Valley Region,Tennessee Valley Authority,,,"Jun 21, 2004",,,,
00.267,Local Planning Assistance_Tennessee Valley Region,Tennessee Valley Authority,,,"Jun 21, 2004",,,,
00.268,Mineral Resources Development_Tennessee Valley Region,Tennessee Valley Authority,,,"Jun 21, 2004",,,,
00.269,Navigation Development and Waterway Transportation_Tennessee River Basin,Tennessee Valley Authority,,,"Jun 21, 2004",,,,
00.270,Recreation Development_Tennessee River Basin,Tennessee Valley Authority,,,"Jun 21, 2004",,,,
00.271,Topographic and Navigation Maps_Tennessee Valley Region,Tennessee Valley Authority,,,"Jun 21, 2004",,,,
00.272,Tributary Area Development_Tennessee River Basin,Tennessee Valley Authority,,,"Jun 21, 2004",,,,
00.273,Unified Resource Development_Tennessee Valley Authority,Tennessee Valley Authority,,,"Jun 21, 2004",,,,
00.274,Water Quality Control_Tennessee River Basin,Tennessee Valley Authority,,,"Jun 21, 2004",,,,
00.275,Mexican Border Development,U.S.-mexico Commission for Border Development and Friendship,,,"Jun 21, 2004",,,,
00.276,Educational Assistance for Veterans' Children,"VETERANS AFFAIRS, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.277,Guardianship Services for Veterans' Beneficiaries,"VETERANS AFFAIRS, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.278,Relocation Housing for Aged or Families Displaced by Urban Renewal,"VETERANS AFFAIRS, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.279,Veterans Restoration Centers,"VETERANS AFFAIRS, DEPARTMENT OF",,,"Jun 21, 2004",,,,
10.002,Plant and Animal Disease and Plant Control,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
10.003,Morrill-Nelson Funds for Food and Agricultural Higher Education,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
10.026,Assistance to States for Intrastate Meat and Poultry Inspection,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
10.027,Meat and Poultry Inspection,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
10.050,Rural Environmental Assistance,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
10.052,Cotton Production Stabilization,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
10.057,Sugar Production Stabilization,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
10.058,Wheat Production Stabilization,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
10.059,National Wool Act Payments,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
